Marca temporal,How much money have you used in-game?,SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you save for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you save for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you save for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you save for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you save for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you save for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>500USD & <1000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>1001USD & <2000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>2001USD & <3000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>3001USD & <4000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>4001USD & <5000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>5000USD]","And as final question, did you rerolled when you started playing?"
21/12/2018 20:41:09,F2P,"Artoria Pendragon, Altera, Okita Souji",Gilgamesh,,,"Zhuge Liang [El-Melloi II], Merlin",,"Sakata Kintoki, Vlad III",Jeanne D'arc,Jeanne D'arc [Alter],No,Between 12 and 15 months,12,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:41:16,Paid Gacha Only,,,,,,,,,,,,,,,,Mordred,,,"Francis Drake, Ozymandias",Tamamo-no-mae,"Jack the Ripper, Shuten Douji",,,,Yes,Between 12 and 15 months,6,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:41:20,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mordred,,Karna,Francis Drake,"Xuanzang, Illyasviel von Einzbern, Merlin",Jack the Ripper,Cu Chulainn [Alter],Jeanne D'arc,Jeanne D'arc [Alter],No,Between 6 and 12 months,12,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:41:39,Paid Gacha Only,,,,,,,,,,,,,,,,Artoria Pendragon,Arjuna,,,Tamamo-no-mae,Jack the Ripper,,Amakusa Shirou,,No,More than 15 months,6,Yes,Other,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:41:43,F2P,Altera,Orion,,Iskandar,Xuanzang,"Jack the Ripper, Shuten Douji, Cleopatra",,Amakusa Shirou,Jeanne D'arc [Alter],Yes,More than 15 months,10,Yes,Prefer not to say,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:42:05,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Nero Claudius [Bride]",,Scathach,"Francis Drake, Queen Medb, Iskandar, Ozymandias","Tamamo-no-mae, Xuanzang",Jack the Ripper,Vlad III,,Edmond Dantes,Yes,More than 15 months,12,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:42:38,F2P,,,,,"Zhuge Liang [El-Melloi II], Illyasviel von Einzbern, Merlin",,,Jeanne D'arc,,No,More than 15 months,6,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:42:49,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scathach,,Zhuge Liang [El-Melloi II],,,,,No,Between 6 and 12 months,2,Yes,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:42:52,F2P,"Altera, Nero Claudius [Bride], Ryougi Shiki","Orion, Ishtar",Karna,"Iskandar, Ozymandias",Zhuge Liang [El-Melloi II],,,Jeanne D'arc,,No,More than 15 months,12,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:43:09,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera",Arjuna,Brynhildr,,,,Vlad III,Jeanne D'arc,Jeanne D'arc [Alter],No,More than 15 months,10,No,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:43:13,F2P,,Gilgamesh,,,,,,,Jeanne D'arc [Alter],No,Between 6 and 12 months,4,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:43:20,F2P,,,Enkidu,,,,Vlad III,,Edmond Dantes,No,More than 15 months,5,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:43:22,F2P,"Altera, Okita Souji",Ishtar,,,Merlin,Cleopatra,,,,Yes,More than 15 months,6,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:43:52,F2P,"Mordred, Ryougi Shiki",,Scathach,,Merlin,,,,Jeanne D'arc [Alter],No,More than 15 months,5,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:43:57,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nero Claudius [Bride],,Scathach,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Merlin","MHX, Shuten Douji","Vlad III, Minamoto no Raikō",Jeanne D'arc,,Yes,Between 6 and 12 months,10,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:44:26,F2P,,,,,"Tamamo-no-mae, Merlin",,,,Jeanne D'arc [Alter],Yes,Between 1 and 3 months,3,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:44:46,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Okita Souji, Nero Claudius [Bride]",Gilgamesh,Tamamo no Mae [Lancer],Francis Drake,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Merlin","Jack the Ripper, Shuten Douji, Cleopatra","Vlad III, Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],Yes,More than 15 months,19,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:44:57,301USD and onwards but less than 501 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Mordred, Nero Claudius [Bride]","Orion, Artoria Pendragon [Archer], Ishtar","Artoria Pendragon [Lancer], Tamamo no Mae [Lancer]",Quetzalcoatl,Xuanzang,,Minamoto no Raikō,,,Yes,Between 6 and 12 months,15,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:45:16,F2P,Nero Claudius [Bride],,Scathach,,Merlin,,,,,No,Between 3 and 6 months,3,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:45:49,F2P,,,Karna,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae","Jack the Ripper, Shuten Douji, Cleopatra",Vlad III,,Jeanne D'arc [Alter],No,Between 12 and 15 months,8,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:46:13,Paid Gacha Only,,,,,,,,,,,,,,,,Artoria Pendragon,"Gilgamesh, Ishtar",Tamamo no Mae [Lancer],Queen Medb,"Tamamo-no-mae, Merlin",,"Sakata Kintoki, Vlad III",,Jeanne D'arc [Alter],Yes,More than 15 months,11,Yes,Other,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:46:17,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arjuna, Ishtar",Karna,Iskandar,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Illyasviel von Einzbern, Merlin",MHX,"Sakata Kintoki, Vlad III",,Jeanne D'arc [Alter],No,More than 15 months,13,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:46:17,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,Merlin,,Minamoto no Raikō,,,Yes,Between 6 and 12 months,3,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:46:19,F2P,,,Enkidu,Ozymandias,,,,,,Yes,Between 6 and 12 months,2,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:46:29,Paid Gacha Only,,,,,,,,,,,,,,,,"Altera, Nero Claudius [Bride]",Orion,,,"Zhuge Liang [El-Melloi II], Merlin",,"Vlad III, Florence Nightingale",Jeanne D'arc,,Yes,More than 15 months,9,Yes,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:46:33,301USD and onwards but less than 501 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Altera,Artoria Pendragon [Archer],,Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",Jack the Ripper,"Vlad III, Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],Yes,More than 15 months,10,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:46:57,F2P,Mordred,Orion,,Quetzalcoatl,"Zhuge Liang [El-Melloi II], Merlin",Shuten Douji,,,"Jeanne D'arc [Alter], Edmond Dantes",Yes,More than 15 months,8,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:47:13,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,Gilgamesh,"Artoria Pendragon [Lancer], Enkidu","Queen Medb, Ozymandias","Zhuge Liang [El-Melloi II], Xuanzang, Merlin",Jack the Ripper,,,"Jeanne D'arc [Alter], Edmond Dantes",Yes,Between 6 and 12 months,12,Yes,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:47:19,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,Orion,Tamamo no Mae [Lancer],Francis Drake,Tamamo-no-mae,MHX,Cu Chulainn [Alter],,,No,More than 15 months,10,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:47:19,F2P,"Artoria Pendragon, Nero Claudius [Bride]","Artoria Pendragon [Archer], Ishtar",Artoria Pendragon [Lancer],Francis Drake,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",Jack the Ripper,,,Jeanne D'arc [Alter],Yes,More than 15 months,12,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:47:24,F2P,Nero Claudius [Bride],Artoria Pendragon [Archer],,,,,,,,No,Between 3 and 6 months,2,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:47:26,Paid Gacha Only,,,,,,,,,,,,,,,,"Okita Souji, Nero Claudius [Bride]",Ishtar,Scathach,,"Tamamo-no-mae, Illyasviel von Einzbern, Merlin","Jack the Ripper, MHX, Shuten Douji",Florence Nightingale,,Jeanne D'arc [Alter],No,More than 15 months,12,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:48:19,Paid Gacha Only,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Mordred",,,Iskandar,"Xuanzang, Merlin",Shuten Douji,Cu Chulainn [Alter],,,No,More than 15 months,9,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:48:43,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nero Claudius [Bride],"Nikola Tesla, Ishtar",,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Merlin",,,Amakusa Shirou,,Yes,More than 15 months,8,Yes,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:48:57,F2P,"Artoria Pendragon, Altera, Nero Claudius [Bride]","Artoria Pendragon [Archer], Ishtar",Scathach,Francis Drake,Tamamo-no-mae,Shuten Douji,"Vlad III, Cu Chulainn [Alter], Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],Yes,More than 15 months,15,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:49:50,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mordred,Ishtar,Enkidu,,,,"Cu Chulainn [Alter], Minamoto no Raikō",,,No,Between 3 and 6 months,5,No,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:50:31,F2P,,,,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",MHX,"Cu Chulainn [Alter], Florence Nightingale",,,Yes,More than 15 months,5,Yes,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:50:40,Paid Gacha Only,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Mordred",,Karna,Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Illyasviel von Einzbern",,Vlad III,,Jeanne D'arc [Alter],No,More than 15 months,11,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:50:44,F2P,Mordred,,,,Zhuge Liang [El-Melloi II],,Vlad III,,,No,Between 3 and 6 months,4,No,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:50:54,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Ryougi Shiki",Gilgamesh,"Artoria Pendragon [Lancer], Tamamo no Mae [Lancer], Enkidu",Iskandar,"Zhuge Liang [El-Melloi II], Xuanzang, Illyasviel von Einzbern",MHX,Cu Chulainn [Alter],,Jeanne D'arc [Alter],No,More than 15 months,15,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:50:54,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Mordred, Nero Claudius [Bride]","Gilgamesh, Artoria Pendragon [Archer], Ishtar","Karna, Artoria Pendragon [Lancer]","Francis Drake, Iskandar","Zhuge Liang [El-Melloi II], Xuanzang, Leonardo Da Vinci, Illyasviel von Einzbern","Jack the Ripper, Cleopatra","Vlad III, Florence Nightingale, Minamoto no Raikō",,,No,More than 15 months,24,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:51:12,Paid Gacha Only,,,,,,,,,,,,,,,,"Altera, Okita Souji",,Tamamo no Mae [Lancer],"Queen Medb, Iskandar","Tamamo-no-mae, Merlin",,"Cu Chulainn [Alter], Florence Nightingale",Jeanne D'arc,,No,More than 15 months,13,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:51:16,F2P,,,,,Merlin,,,,,No,Between 3 and 6 months,1,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:51:17,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Mordred, Nero Claudius [Bride]",Ishtar,"Karna, Enkidu",Francis Drake,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Illyasviel von Einzbern","Jack the Ripper, Shuten Douji","Vlad III, Minamoto no Raikō",Jeanne D'arc,,Yes,More than 15 months,19,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:51:43,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Mordred, Nero Claudius [Bride]","Gilgamesh, Orion, Artoria Pendragon [Archer]","Scathach, Enkidu",Francis Drake,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Merlin",Jack the Ripper,Vlad III,Jeanne D'arc,,Yes,More than 15 months,25,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:52:13,F2P,,,"Karna, Tamamo no Mae [Lancer]",Queen Medb,Tamamo-no-mae,,,Jeanne D'arc,,Yes,Between 6 and 12 months,5,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:52:16,Paid Gacha Only,,,,,,,,,,,,,,,,"Artoria Pendragon, Okita Souji",,,,,,,,,No,More than 15 months,2,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:52:39,Paid Gacha Only,,,,,,,,,,,,,,,,"Altera, Okita Souji, Ryougi Shiki","Orion, Nikola Tesla",,Queen Medb,Tamamo-no-mae,Jack the Ripper,,,Edmond Dantes,No,Between 12 and 15 months,9,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:53:38,Paid Gacha Only,,,,,,,,,,,,,,,,,"Orion, Nikola Tesla",,Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae","MHX, Shuten Douji",,,Jeanne D'arc [Alter],No,More than 15 months,9,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:54:09,Paid Gacha Only,,,,,,,,,,,,,,,,"Altera, Okita Souji","Gilgamesh, Ishtar","Scathach, Tamamo no Mae [Lancer]",Francis Drake,Illyasviel von Einzbern,,Minamoto no Raikō,,Jeanne D'arc [Alter],Yes,More than 15 months,11,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:54:26,F2P,,,Karna,Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",,,,Jeanne D'arc [Alter],Yes,More than 15 months,5,Yes,Prefer not to say,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:54:41,Paid Gacha Only,,,,,,,,,,,,,,,,"Artoria Pendragon, Ryougi Shiki",,"Scathach, Artoria Pendragon [Lancer]",,"Zhuge Liang [El-Melloi II], Merlin",Jack the Ripper,,Jeanne D'arc,Jeanne D'arc [Alter],Yes,Between 12 and 15 months,9,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:54:47,F2P,,,,,,,Florence Nightingale,,,No,Between 12 and 15 months,1,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:55:10,F2P,Okita Souji,Arjuna,Brynhildr,,Merlin,,Cu Chulainn [Alter],Jeanne D'arc,,Yes,More than 15 months,6,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:56:03,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Mordred, Nero Claudius [Bride]",Nikola Tesla,"Scathach, Artoria Pendragon [Lancer]",Ozymandias,"Xuanzang, Leonardo Da Vinci",,,Jeanne D'arc,Jeanne D'arc [Alter],No,Between 6 and 12 months,15,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:56:07,F2P,Artoria Pendragon,,,,Merlin,,,,,No,Between 1 and 3 months,2,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:56:14,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nero Claudius [Bride],,Tamamo no Mae [Lancer],Queen Medb,"Zhuge Liang [El-Melloi II], Illyasviel von Einzbern, Merlin",Jack the Ripper,"Sakata Kintoki, Vlad III",,,No,Between 12 and 15 months,9,Yes,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:56:36,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mordred,"Artoria Pendragon [Archer], Ishtar",,Iskandar,Xuanzang,,,Jeanne D'arc,,No,More than 15 months,7,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:56:38,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Okita Souji",Artoria Pendragon [Archer],"Karna, Tamamo no Mae [Lancer]","Francis Drake, Iskandar",Merlin,,,,,No,Between 12 and 15 months,8,Yes,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:57:18,F2P,"Altera, Mordred",Gilgamesh,"Artoria Pendragon [Lancer], Enkidu",Francis Drake,,,Florence Nightingale,,,Yes,More than 15 months,10,Yes,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 20:57:24,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arjuna, Artoria Pendragon [Archer]",Tamamo no Mae [Lancer],Queen Medb,"Leonardo Da Vinci, Merlin",,"Vlad III, Florence Nightingale",,,No,Between 6 and 12 months,8,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
