Marca temporal,How much money have you used in-game?,SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,Extra Section: Summer SRs,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you saved for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,Extra Section: Summer SRs,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you saved for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,Extra Section: Summer SRs,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you saved for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,Extra Section: Summer SRs,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you saved for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,Extra Section: Summer SRs,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you saved for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,Extra Section: Summer SRs,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you saved for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>500USD & <1000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>1001USD & <2000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>2001USD & <3000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>3001USD & <4000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>4001USD & <5000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>5000USD]","And as final question, did you rerolled when you started playing?",,,"4,957016435"
7/08/2018 18:22:41,More than 100USD but less than 300 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Okita Souji, Ryougi Shiki","Gilgamesh, Orion, Artoria Pendragon [Archer]",Scathach,Francis Drake,,"Jack the Ripper, Shuten Douji",Minamoto no Raikō,,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu","Kiyohime [Lancer], Mordred [Rider], Marie [Caster], Martha [Ruler], Shishou NP5 [Assassin] aka event done",More than 1 year,13,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 18:22:51,More than 100USD but less than 300 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Mordred, Nero Claudius [Bride], Ryougi Shiki","Gilgamesh, Artoria Pendragon [Archer]","Scathach, Karna, Brynhildr, Tamamo no Mae [Lancer]","Francis Drake, Iskandar, Ozymandias",Zhuge Liang [El-Melloi II],"Jack the Ripper, MHX, Shuten Douji","Sakata Kintoki, Vlad III, Cu Chulainn [Alter], Florence Nightingale, Minamoto no Raikō","Jeanne D'arc, Amakusa Shirou","Edmond Dantes, Extra Option: Angra Mainyu","Kiyohime [Lancer], Mordred [Rider], Anne/Mary [Archer], Marie [Caster], Martha [Ruler], Shishou NP5 [Assassin] aka event done",More than 1 year,42,Yes,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 18:22:56,F2P,,Arjuna,,,,Jack the Ripper,,,,,Between 3 and 6 months,2,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 18:23:14,F2P,,Artoria Pendragon [Archer],,,Tamamo-no-mae,,,Jeanne D'arc,,"Anne/Mary [Archer], Martha [Ruler], Shishou NP5 [Assassin] aka event done",More than 1 year,3,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 18:23:15,Paid Gacha Only,,,,,,,,,,,,,,,,"Altera, Mordred",Gilgamesh,,,Zhuge Liang [El-Melloi II],,Vlad III,,,,More than 1 year,5,No,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 18:23:27,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mordred, Ryougi Shiki","Gilgamesh, Orion, Nikola Tesla","Brynhildr, Tamamo no Mae [Lancer]","Francis Drake, Queen Medb, Iskandar, Ozymandias",Xuanzang,"MHX, Shuten Douji",Cu Chulainn [Alter],,Jeanne D'arc [Alter],"Kiyohime [Lancer], Shishou NP5 [Assassin] aka event done",Between 6 and 12 months,19,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 18:23:33,F2P,,,,,Tamamo-no-mae,,,,,Shishou NP5 [Assassin] aka event done,Between 3 and 6 months,15,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 18:23:37,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon [Archer],"Brynhildr, Artoria Pendragon [Lancer], Tamamo no Mae [Lancer]",,Tamamo-no-mae,,"Sakata Kintoki, Vlad III, Cu Chulainn [Alter]",,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",Marie [Caster],More than 1 year,10,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 18:23:44,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,Orion,,"Francis Drake, Iskandar, Ozymandias",,Jack the Ripper,Vlad III,,Edmond Dantes,,Between 6 and 12 months,7,Yes,,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 18:24:10,F2P,,Gilgamesh,Scathach,Francis Drake,Tamamo-no-mae,Jack the Ripper,,,Jeanne D'arc [Alter],Kiyohime [Lancer],More than 1 year,6,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 18:24:23,More than 300USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Mordred, Ryougi Shiki","Gilgamesh, Orion, Arjuna","Scathach, Brynhildr, Artoria Pendragon [Lancer]","Queen Medb, Iskandar","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang","MHX, Shuten Douji","Vlad III, Cu Chulainn [Alter], Florence Nightingale, Minamoto no Raikō",Jeanne D'arc,"Jeanne D'arc [Alter], Edmond Dantes",Anne/Mary [Archer],Between 6 and 12 months,32,No,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 18:24:24,F2P,Artoria Pendragon,,Scathach,,Tamamo-no-mae,Shuten Douji,"Vlad III, Florence Nightingale",,Jeanne D'arc [Alter],Shishou NP5 [Assassin] aka event done,More than 1 year,9,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 18:24:27,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji",,Scathach,Francis Drake,"Zhuge Liang [El-Melloi II], Xuanzang",MHX,,,,,More than 1 year,10,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
