Marca temporal,How much money have you used in-game?,SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,Extra Section: Summer SRs,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you saved for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,Extra Section: Summer SRs,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you saved for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,Extra Section: Summer SRs,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you saved for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,Extra Section: Summer SRs,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you saved for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,Extra Section: Summer SRs,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you saved for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,Extra Section: Summer SRs,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you saved for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>500USD & <1000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>1001USD & <2000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>2001USD & <3000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>3001USD & <4000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>4001USD & <5000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>5000USD]","And as final question, did you rerolled when you started playing?",,,"4,957016435"
8/08/2018 0:12:57,F2P,"Artoria Pendragon, Okita Souji","Orion, Arjuna",,"Iskandar, Ozymandias",,Shuten Douji,,Jeanne D'arc,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu","Marie [Caster], Martha [Ruler], Shishou NP5 [Assassin] aka event done",More than 1 year,10,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:12:59,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orion,"Karna, Brynhildr",,Xuanzang,,,,Jeanne D'arc [Alter],Marie [Caster],More than 1 year,5,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:13:03,F2P,"Artoria Pendragon, Mordred",,,,,Jack the Ripper,,,,,Between 3 and 6 months,3,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:13:04,Paid Gacha Only,,,,,,,,,,,,,,,,,,"Scathach, Karna, Brynhildr, Artoria Pendragon [Lancer]",,,MHX,Vlad III,Amakusa Shirou,,"Kiyohime [Lancer], Shishou NP5 [Assassin] aka event done",More than 1 year,15,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:13:06,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orion,Tamamo no Mae [Lancer],,Zhuge Liang [El-Melloi II],MHX,,Amakusa Shirou,Jeanne D'arc [Alter],,Between 6 and 12 months,,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:13:25,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera",Nikola Tesla,Karna,"Francis Drake, Ozymandias",Tamamo-no-mae,,Minamoto no Raikō,Jeanne D'arc,Jeanne D'arc [Alter],Kiyohime [Lancer],More than 1 year,10,No,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:13:33,More than 100USD but less than 300 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tamamo no Mae [Lancer],,"Zhuge Liang [El-Melloi II], Leonardo Da Vinci",Shuten Douji,"Vlad III, Minamoto no Raikō",,,"Kiyohime [Lancer], Mordred [Rider], Martha [Ruler]",Between 3 and 6 months,6,Yes,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:14:07,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Nero Claudius [Bride]","Gilgamesh, Nikola Tesla",Scathach,Ozymandias,,MHX,Cu Chulainn [Alter],Jeanne D'arc,Jeanne D'arc [Alter],"Marie [Caster], Shishou NP5 [Assassin] aka event done",More than 1 year,14,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:14:24,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,Gilgamesh,,Iskandar,Zhuge Liang [El-Melloi II],Shuten Douji,Cu Chulainn [Alter],,Jeanne D'arc [Alter],,Less than 1 month,7,Yes,Female,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:14:35,F2P,,,Tamamo no Mae [Lancer],"Francis Drake, Ozymandias",Tamamo-no-mae,Jack the Ripper,Vlad III,,,"Mordred [Rider], Martha [Ruler], Shishou NP5 [Assassin] aka event done",More than 1 year,6,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:14:39,F2P,"Artoria Pendragon, Altera",,,,,,,,,,Between 3 and 6 months,2,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:14:57,F2P,,,Artoria Pendragon [Lancer],,Tamamo-no-mae,,,,Jeanne D'arc [Alter],,More than 1 year,3,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:15:07,F2P,"Artoria Pendragon, Altera, Ryougi Shiki","Gilgamesh, Artoria Pendragon [Archer]",Karna,,Zhuge Liang [El-Melloi II],"Jack the Ripper, MHX",,,,"Marie [Caster], Martha [Ruler], Shishou NP5 [Assassin] aka event done",More than 1 year,9,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:15:11,Paid Gacha Only,,,,,,,,,,,,,,,,Mordred,,,,,MHX,,Jeanne D'arc,Jeanne D'arc [Alter],Martha [Ruler],Between 6 and 12 months,4,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:15:44,More than 100USD but less than 300 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Mordred","Gilgamesh, Orion, Nikola Tesla","Scathach, Karna, Artoria Pendragon [Lancer]",,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Leonardo Da Vinci",MHX,"Sakata Kintoki, Vlad III",,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu","Mordred [Rider], Marie [Caster], Martha [Ruler], Shishou NP5 [Assassin] aka event done",More than 1 year,39,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:16:05,F2P,,,,Francis Drake,,,,,,,Between 1 and 3 months,1,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:16:20,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,"Orion, Artoria Pendragon [Archer]","Scathach, Artoria Pendragon [Lancer]",Ozymandias,Leonardo Da Vinci,"Jack the Ripper, MHX",Minamoto no Raikō,,Jeanne D'arc [Alter],"Kiyohime [Lancer], Anne/Mary [Archer], Martha [Ruler]",Between 6 and 12 months,12,No,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:16:49,More than 100USD but less than 300 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera","Nikola Tesla, Artoria Pendragon [Archer]","Scathach, Tamamo no Mae [Lancer]","Francis Drake, Iskandar, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang","Jack the Ripper, MHX, Shuten Douji","Sakata Kintoki, Florence Nightingale, Minamoto no Raikō",Jeanne D'arc,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",Shishou NP5 [Assassin] aka event done,More than 1 year,30,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:17:06,Paid Gacha Only,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Mordred",Orion,,"Francis Drake, Ozymandias",Xuanzang,Shuten Douji,Vlad III,,,,More than 1 year,10,No,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:17:11,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Nero Claudius [Bride], Ryougi Shiki",Artoria Pendragon [Archer],Scathach,,Zhuge Liang [El-Melloi II],Jack the Ripper,"Vlad III, Minamoto no Raikō",Jeanne D'arc,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu","Marie [Caster], Martha [Ruler], Shishou NP5 [Assassin] aka event done",Between 6 and 12 months,12,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:17:43,Paid Gacha Only,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji",Nikola Tesla,,"Francis Drake, Ozymandias",Xuanzang,,,,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu","Anne/Mary [Archer], Marie [Caster], Martha [Ruler]",Between 6 and 12 months,9,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:18:12,Paid Gacha Only,,,,,,,,,,,,,,,,,Gilgamesh,Tamamo no Mae [Lancer],Queen Medb,Xuanzang,Jack the Ripper,,Jeanne D'arc,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu","Kiyohime [Lancer], Mordred [Rider], Martha [Ruler], Shishou NP5 [Assassin] aka event done",Between 6 and 12 months,7,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:18:17,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Nero Claudius [Bride]","Orion, Artoria Pendragon [Archer]","Scathach, Karna, Tamamo no Mae [Lancer]",Francis Drake,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",,Vlad III,,Jeanne D'arc [Alter],"Kiyohime [Lancer], Marie [Caster], Martha [Ruler]",More than 1 year,15,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:18:19,F2P,,,Tamamo no Mae [Lancer],,Zhuge Liang [El-Melloi II],,,,,Shishou NP5 [Assassin] aka event done,Between 1 and 3 months,2,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:18:22,Paid Gacha Only,,,,,,,,,,,,,,,,,,Artoria Pendragon [Lancer],,,,,,,,More than 1 year,12,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:18:25,More than 100USD but less than 300 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Nero Claudius [Bride], Ryougi Shiki","Orion, Artoria Pendragon [Archer]","Karna, Artoria Pendragon [Lancer], Tamamo no Mae [Lancer]","Francis Drake, Ozymandias","Tamamo-no-mae, Xuanzang, Leonardo Da Vinci","Jack the Ripper, MHX","Vlad III, Cu Chulainn [Alter], Florence Nightingale","Jeanne D'arc, Amakusa Shirou",Jeanne D'arc [Alter],Marie [Caster],More than 1 year,30,No,Female,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:18:37,More than 100USD but less than 300 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Okita Souji, Mordred, Nero Claudius [Bride], Ryougi Shiki","Gilgamesh, Artoria Pendragon [Archer]","Scathach, Tamamo no Mae [Lancer]","Queen Medb, Iskandar, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang","MHX, Shuten Douji","Sakata Kintoki, Vlad III, Cu Chulainn [Alter], Florence Nightingale, Minamoto no Raikō","Jeanne D'arc, Amakusa Shirou",Jeanne D'arc [Alter],"Kiyohime [Lancer], Mordred [Rider], Anne/Mary [Archer], Shishou NP5 [Assassin] aka event done",More than 1 year,33,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:18:37,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Okita Souji, Nero Claudius [Bride]",Artoria Pendragon [Archer],"Scathach, Tamamo no Mae [Lancer]","Francis Drake, Queen Medb, Iskandar, Ozymandias",Zhuge Liang [El-Melloi II],Shuten Douji,"Sakata Kintoki, Vlad III, Cu Chulainn [Alter], Florence Nightingale, Minamoto no Raikō",,Jeanne D'arc [Alter],"Kiyohime [Lancer], Marie [Caster], Shishou NP5 [Assassin] aka event done",More than 1 year,20,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:18:37,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mordred,,,Ozymandias,Xuanzang,,Florence Nightingale,,Extra Option: Angra Mainyu,"Marie [Caster], Martha [Ruler]",Between 6 and 12 months,6,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:18:45,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Okita Souji, Ryougi Shiki",Artoria Pendragon [Archer],,Francis Drake,,"Jack the Ripper, MHX","Vlad III, Florence Nightingale",Jeanne D'arc,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu","Mordred [Rider], Shishou NP5 [Assassin] aka event done",More than 1 year,11,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:19:43,More than 100USD but less than 300 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gilgamesh,,,"Tamamo-no-mae, Leonardo Da Vinci",,Sakata Kintoki,Jeanne D'arc,,"Kiyohime [Lancer], Mordred [Rider], Marie [Caster], Martha [Ruler], Shishou NP5 [Assassin] aka event done",More than 1 year,7,No,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:19:52,More than 100USD but less than 300 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Mordred",Artoria Pendragon [Archer],,,Zhuge Liang [El-Melloi II],"Jack the Ripper, MHX",,Jeanne D'arc,Jeanne D'arc [Alter],Kiyohime [Lancer],More than 1 year,9,No,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:20:40,F2P,,,Scathach,Iskandar,Zhuge Liang [El-Melloi II],,Minamoto no Raikō,Jeanne D'arc,,"Anne/Mary [Archer], Shishou NP5 [Assassin] aka event done",Between 3 and 6 months,5,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:20:52,Paid Gacha Only,,,,,,,,,,,,,,,,Ryougi Shiki,"Gilgamesh, Orion, Arjuna, Artoria Pendragon [Archer]",Brynhildr,"Francis Drake, Ozymandias","Zhuge Liang [El-Melloi II], Xuanzang",,,,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",Kiyohime [Lancer],More than 1 year,14,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:20:57,Paid Gacha Only,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera",,Tamamo no Mae [Lancer],,Tamamo-no-mae,Jack the Ripper,"Florence Nightingale, Minamoto no Raikō",,,"Marie [Caster], Martha [Ruler], Shishou NP5 [Assassin] aka event done",Between 6 and 12 months,9,Yes,Female,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:21:14,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scathach, Karna",,,,Minamoto no Raikō,,Extra Option: Angra Mainyu,"Kiyohime [Lancer], Anne/Mary [Archer]",Between 3 and 6 months,3,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:21:19,Paid Gacha Only,,,,,,,,,,,,,,,,,"Arjuna, Artoria Pendragon [Archer]",Tamamo no Mae [Lancer],Francis Drake,Tamamo-no-mae,,"Vlad III, Cu Chulainn [Alter]",,Extra Option: Angra Mainyu,"Anne/Mary [Archer], Marie [Caster]",More than 1 year,7,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:21:27,Paid Gacha Only,,,,,,,,,,,,,,,,,,,Ozymandias,Tamamo-no-mae,,,,,,More than 1 year,11,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:21:29,F2P,Artoria Pendragon,"Gilgamesh, Orion",,,Zhuge Liang [El-Melloi II],,Cu Chulainn [Alter],Jeanne D'arc,Extra Option: Angra Mainyu,Shishou NP5 [Assassin] aka event done,Between 6 and 12 months,6,Yes,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:21:33,F2P,,,Tamamo no Mae [Lancer],Francis Drake,,MHX,,,,Kiyohime [Lancer],Between 6 and 12 months,4,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:22:02,F2P,"Altera, Okita Souji, Nero Claudius [Bride]",,,,Zhuge Liang [El-Melloi II],MHX,,,"Edmond Dantes, Extra Option: Angra Mainyu",Martha [Ruler],More than 1 year,7,Yes,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:22:26,Paid Gacha Only,,,,,,,,,,,,,,,,,Artoria Pendragon [Archer],"Brynhildr, Tamamo no Mae [Lancer]",,,Jack the Ripper,"Cu Chulainn [Alter], Florence Nightingale",,,"Kiyohime [Lancer], Mordred [Rider], Marie [Caster], Martha [Ruler]",Between 6 and 12 months,8,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:22:54,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Okita Souji,Orion,Scathach,Francis Drake,Tamamo-no-mae,Jack the Ripper,Vlad III,Jeanne D'arc,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu","Marie [Caster], Martha [Ruler], Shishou NP5 [Assassin] aka event done",More than 1 year,14,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:22:58,More than 100USD but less than 300 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Mordred",Artoria Pendragon [Archer],"Artoria Pendragon [Lancer], Tamamo no Mae [Lancer]","Iskandar, Ozymandias","Tamamo-no-mae, Leonardo Da Vinci","Jack the Ripper, Shuten Douji",Florence Nightingale,,Jeanne D'arc [Alter],"Kiyohime [Lancer], Mordred [Rider], Anne/Mary [Archer], Marie [Caster], Martha [Ruler], Shishou NP5 [Assassin] aka event done",Between 6 and 12 months,15,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:23:29,Paid Gacha Only,,,,,,,,,,,,,,,,Altera,Orion,"Scathach, Tamamo no Mae [Lancer]","Francis Drake, Ozymandias",Tamamo-no-mae,Shuten Douji,,Jeanne D'arc,,"Kiyohime [Lancer], Shishou NP5 [Assassin] aka event done",More than 1 year,9,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:23:40,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orion,Scathach,"Francis Drake, Queen Medb",Zhuge Liang [El-Melloi II],Jack the Ripper,Minamoto no Raikō,,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu","Kiyohime [Lancer], Marie [Caster], Shishou NP5 [Assassin] aka event done",More than 1 year,11,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:23:52,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Altera,"Orion, Artoria Pendragon [Archer]",Tamamo no Mae [Lancer],,,,,Jeanne D'arc,Jeanne D'arc [Alter],"Kiyohime [Lancer], Mordred [Rider], Anne/Mary [Archer], Martha [Ruler], Shishou NP5 [Assassin] aka event done",More than 1 year,7,No,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:23:58,More than 300USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera","Orion, Arjuna, Artoria Pendragon [Archer]","Scathach, Karna",Ozymandias,"Zhuge Liang [El-Melloi II], Xuanzang","Jack the Ripper, MHX, Shuten Douji","Cu Chulainn [Alter], Florence Nightingale, Minamoto no Raikō",,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu","Mordred [Rider], Anne/Mary [Archer], Marie [Caster], Martha [Ruler], Shishou NP5 [Assassin] aka event done",Between 6 and 12 months,24,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:24:23,Paid Gacha Only,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera",,"Karna, Brynhildr",Queen Medb,Zhuge Liang [El-Melloi II],,,Jeanne D'arc,,Shishou NP5 [Assassin] aka event done,More than 1 year,8,Yes,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2018 0:24:58,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mordred, Ryougi Shiki",,Tamamo no Mae [Lancer],,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",,Vlad III,Jeanne D'arc,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu","Kiyohime [Lancer], Mordred [Rider]",More than 1 year,10,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
